SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.0.0.UUNF,EU27,1,0,0,0,UUNF,European Union,01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6180.82,6491.62,6636.31,6918.63,7297.54,7757.7,8079.65,8329.6,8594.47,8958.09,9408.18,9958.61,10544.38,10952.17,10538.79,10822.56,11103.47,11140.33,11167.39,11355.54,11705.97,12021.63,12513.44,12985.67,13558.78,13058.61,14043.14,15492.05,16517.63,17117.54,17795.87,18508.89,,,,,,,
EU15.1.0.0.0.UUNF,EU15,1,0,0,0,UUNF,European Union (15 countries),01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6226.86,6478.71,6446.93,6691.21,6895.79,7263.35,7618.12,7971.69,8458.72,9085.65,9398.07,9673.99,9859.41,10310.94,10751.66,11318.05,11861.38,11870.44,11350.19,11700.93,11962.59,12194.4,12214.08,12586.76,13220.45,13334.64,13645.65,14067.78,14646.93,13948.87,15101.97,16656.08,17582.88,18202.66,18898.18,19573.17,,,,,,,
EA19.1.0.0.0.UUNF,EA19,1,0,0,0,UUNF,Euro area (19 countries),01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5205.92,5390.21,5610,5859.96,5963.74,6200.97,6548.87,6923.53,7203.25,7404.24,7660.79,7966.14,8312.09,8759.1,9200.05,9476.32,9230.49,9406.99,9615.78,9621.38,9639.62,9800.02,10085.3,10370.5,10747.04,11124.24,11604.57,11122.74,11914.42,13120.14,13945.45,14357.13,14868.36,15412.76,,,,,,,
EA20.1.0.0.0.UUNF,EA20,1,0,0,0,UUNF,Euro area,01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5628.41,5879.84,5986.99,6225.45,6572.5,6948.34,7230.51,7435.23,7694.5,8002.62,8351.79,8802.42,9247.44,9528.98,9279.07,9453.94,9662.69,9667.5,9685.53,9844.8,10130.52,10417.4,10796.26,11176.4,11660.54,11176.4,11973.92,13188.94,14024.28,14444.76,14961.76,15510.72,,,,,,,
EA12.1.0.0.0.UUNF,EA12,1,0,0,0,UUNF,Euro area (12 countries),01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4883.79,5152.2,5166.06,5344.38,5554.17,5796.32,5891.4,6121.63,6468,6834.9,7107.15,7301.46,7550.15,7843.84,8175.19,8601.08,9013.29,9268.19,9043.1,9217.87,9416.52,9417.69,9433.97,9590.14,9865.59,10144.8,10506.46,10866.6,11329.28,10847.41,11611.03,12771.25,13561.49,13955.13,14442.52,14965.22,,,,,,,
DU15.1.0.0.0.UUNF,DU15,1,0,0,0,UUNF,EU15 (including D_W West-Germany),01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,"Mrd ECU/EUR, Standard aggregation",304.192,334.308,367.337,403.056,445.101,487.092,527.386,564.003,608.71,676.16,764.572,855.297,954.159,1100.018,1283.422,1458.62,1660.012,1837.53,2010.507,2296.704,2625.649,2924.551,3176.515,3370.34,3629.541,3894.694,4091.531,4343.568,4750.586,5219.331,5610.023,5989.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
DA12.1.0.0.0.UUNF,DA12,1,0,0,0,UUNF,EA12 (including D_W West-Germany),01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,"Mrd ECU/EUR, Standard aggregation",215.207,239.322,266.095,295.487,327.038,358.618,388.843,416.274,458.711,513.712,582.562,653.775,734.261,865.204,1011.357,1149.823,1317.811,1469.105,1605.701,1817.284,2043.039,2237.493,2437.693,2598.836,2786.807,2972.187,3187.793,3387.986,3632.853,3990.66,4348.26,4646.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
BEL.1.0.0.0.UUNF,BEL,1,0,0,0,UUNF,Belgium,01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,Mrd EURO-BEF,14.9142,15.7599,16.8078,18.1871,19.992,21.8761,23.6213,25.158,26.7708,29.1916,32.0995,35.3468,39.1608,44.6127,52.4615,60.1944,67.614,74.1077,79.8769,86.3856,93.9834,98.3323,105.6694,110.5236,117.5877,125.939,130.2668,135.3962,143.5839,156.2547,167.0733,174.623,181.809,185.55,193.4469,201.2082,206.534,214.3973,222.8356,231.4556,245.761,254.0506,257.8759,264.8119,278.7156,292.7878,306.6582,324.9074,342.9797,342.4142,356.159,373.1901,386.0757,391.4503,402.3714,411.9761,424.8666,439.8049,457.3551,475.0635,456.8952,493.8847,554.3901,594.6397,614.7257,637.2931,659.5037,,,,,,,
BGR.1.0.0.0.UUNF,BGR,1,0,0,0,UUNF,Bulgaria,01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,Mrd BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1652,0.2735,0.4196,0.7357,1.142,2.0148,16.6086,23.562,25.2901,28.9667,33.2281,36.257,39.5363,44.7726,52.9323,60.2951,72.0695,84.3485,78.6684,77.0209,80.5769,84.7206,82.8582,84.7366,88.6969,90.1354,96.666,104.2975,113.4962,116.6336,129.9617,156.9163,175.6749,190.5606,202.3964,216.6171,,,,,,,
CZE.1.0.0.0.UUNF,CZE,1,0,0,0,UUNF,Czechia,01 Domestic demand excluding change in inventories,Domestic demand excluding stocks at current prices ,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.516,831.909,990.016,1207.178,1395.6,1650.507,1898.214,2056.547,2177.726,2284.196,2426.691,2599.018,2717.248,2867.598,3030.073,3186.971,3366.04,3669.004,3865.67,3822.561,3902.444,3920.999,3911.513,3949.719,4076.104,4312.282,4434.505,4714.22,5099.325,5506.393,5482.328,5953.666,6757.098,7185.334,7536.031,7914.094,8339.379,,,,,,,
